Block	chr1	start1	end1	strand1	chr2	start2	end2	strand2
869	A1	114260429	117015293	+	chr2	103213429	105968293	-
868	A1	117015293	117528499	+	chr2	102700223	103213429	-
867	A1	117528499	118181204	+	chr2	102047518	102700223	-
866	A1	118181204	118549933	+	chr2	101091973	101460702	-
865	A1	118549933	119677444	+	chr2	99964462	101091973	-
864	A1	119677444	120321164	+	chr2	98957834	99601554	-
863	A1	120321164	121203990	+	chr2	98075008	98957834	+
570	A1	121203990	122221275	+	chr15	22624960	23642245	+
571	A1	122221275	123046705	+	chr15	23876061	24701491	+
572	A1	123046705	123723920	+	chr15	25393724	26070939	+
1111	A1	123723920	124269825	+	chrX	45979991	46525896	+
1071	A1	124269825	124624864	+	chrX	2478	357517	+
1072	A1	124624864	125384021	+	chrX	357517	1116674	+
1073	A1	125384021	126058993	+	chrX	1636693	2311665	+
1074	A1	126058993	126628709	+	chrX	2519781	3089497	+
1075	A1	126628709	126975977	+	chrX	3089497	3436765	+
1076	A1	126975977	128267976	+	chrX	4705400	5997399	+
1077	A1	128267976	128859954	+	chrX	5997399	6589377	+
1078	A1	128859954	129934879	+	chrX	6589377	7664302	+
1079	A1	129934879	130991887	+	chrX	7664302	8721310	+
1080	A1	130991887	131711170	+	chrX	8726188	9445471	+
1081	A1	131711170	132886739	+	chrX	9549456	10725025	+
1082	A1	132886739	133209570	+	chrX	10725025	11047856	+
1083	A1	133209570	135277355	+	chrX	11047856	13115641	+
1084	A1	135277355	135760473	+	chrX	13115641	13598759	+
1085	A1	135760473	136119041	+	chrX	13921798	14280366	+
1086	A1	136119041	136494777	+	chrX	14280366	14656102	+
1087	A1	136494777	137802452	+	chrX	14656102	15963777	+
1088	A1	137802452	138120890	+	chrX	15963777	16282215	+
1089	A1	138120890	138721249	+	chrX	16282215	16882574	+
1090	A1	138721249	139117448	+	chrX	16936723	17332922	+
1091	A1	139117448	140220969	+	chrX	17804266	18907787	+
1092	A1	140220969	141300712	+	chrX	18907787	19987530	+
1093	A1	141300712	143601101	+	chrX	19987530	22287919	+
1094	A1	143601101	144730927	+	chrX	22287919	23417745	+
1095	A1	144730927	145202180	+	chrX	23421110	23892363	+
1096	A1	145202180	145968888	+	chrX	23952072	24718780	+
1097	A1	145968888	146427467	+	chrX	26943613	27402192	+
1098	A1	146427467	147177090	+	chrX	27470852	28220475	+
1099	A1	147177090	147946624	+	chrX	28220475	28990009	+
1100	A1	147946624	148610487	+	chrX	28990009	29653872	+
1101	A1	148610487	149289975	+	chrX	29653872	30333360	+
1102	A1	149289975	149796789	+	chrX	30333360	30840174	+
1103	A1	149796789	152457875	+	chrX	30840174	33501260	+
1104	A1	152457875	152814223	+	chrX	34052444	34408792	+
1105	A1	152814223	153676685	+	chrX	34408792	35271254	+
1106	A1	153676685	153999344	+	chrX	35481659	35804318	-
1107	A1	153999344	155159415	+	chrX	38620265	39780336	+
1108	A1	155159415	156862934	+	chrX	39780336	41483855	+
1109	A1	156862934	157568506	+	chrX	42706448	43412020	+
1110	A1	157568506	159242845	+	chrX	44305652	45979991	+
1566	A1	159242845	159677920	+	chr21	42066587	42501662	-
1565	A1	159677920	160750591	+	chr21	40993916	42066587	-
1564	A1	160750591	161309823	+	chr21	40434684	40993916	-
1563	A1	161309823	163082978	+	chr21	38661529	40434684	-
1562	A1	163082978	163625029	+	chr21	38107746	38649797	-
1561	A1	163625029	164228007	+	chr21	37504768	38107746	-
1560	A1	164228007	165305900	+	chr21	36426875	37504768	-
1559	A1	165305900	166334524	+	chr21	35398251	36426875	-
1558	A1	166334524	167223345	+	chr21	34460817	35349638	-
1557	A1	167223345	168575396	+	chr21	33108766	34460817	-
1556	A1	168575396	169175179	+	chr21	32508983	33108766	-
1555	A1	169175179	170488083	+	chr21	31196079	32508983	-
1554	A1	170488083	170893288	+	chr21	30790874	31196079	-
1553	A1	170893288	171513432	+	chr21	30170730	30790874	-
1552	A1	171513432	172895660	+	chr21	28788502	30170730	-
1551	A1	172895660	174338873	+	chr21	19438452	20881665	-
1550	A1	174338873	176695852	+	chr21	15566250	17923229	-
1549	A1	176695852	177705455	+	chr21	14256115	15265718	-
1548	A1	177705455	179310371	+	chr21	12408794	14013710	-
679	A1	179310371	182454920	+	chr3	76148582	79293131	+
680	A1	182454920	183379776	+	chr3	79293131	80217987	+
681	A1	183379776	184100872	+	chr3	80219206	80940302	+
682	A1	184100872	184933340	+	chr3	80940302	81772770	+
683	A1	184933340	186727898	+	chr3	81772770	83567328	+
684	A1	186727898	187379991	+	chr3	83567328	84219421	+
685	A1	187379991	188371150	+	chr3	85467216	86458375	+
686	A1	188371150	189102706	+	chr3	86458375	87189931	+
687	A1	189102706	189658557	+	chr3	87189931	87745782	+
1260	A1	189658557	190077188	+	chr1	147049505	147468136	+
1270	A1	190077188	190831241	+	chr1	166121924	166875977	+
692	A1	190831241	192300652	+	chr3	99294142	100763553	-
691	A1	192300652	193601097	+	chr3	97993697	99294142	-
690	A1	193601097	194629734	+	chr3	96687187	97715824	-
689	A1	194629734	195206327	+	chr3	89757528	90334121	-
688	A1	195206327	197218073	+	chr3	87745782	89757528	-
703	A1	197218073	197566955	+	chr3	113843417	114192299	-
702	A1	197566955	198057150	+	chr3	113353222	113843417	-
701	A1	198057150	199258256	+	chr3	112152116	113353222	-
700	A1	199258256	200900318	+	chr3	109729518	111371580	-
699	A1	200900318	201600891	+	chr3	106080812	106781385	-
698	A1	201600891	201972960	+	chr3	105708743	106080812	-
697	A1	201972960	202712599	+	chr3	104969104	105708743	-
696	A1	202712599	203262739	+	chr3	104418964	104969104	-
695	A1	203262739	204623213	+	chr3	102951003	104311477	-
694	A1	204623213	205054347	+	chr3	102519869	102951003	+
693	A1	205054347	205770103	+	chr3	101804113	102519869	+
1271	A1	205770103	206492571	+	chr1	168027819	168750287	+
704	A1	206492571	207621651	+	chr3	115027862	116156942	+
1258	A1	207621651	208124151	+	chr1	115608449	116110949	+
711	A1	208124151	210425519	+	chr3	121988262	124289630	+
705	A1	210425519	210806592	+	chr3	116180885	116561958	+
706	A1	210806592	212350563	+	chr3	116561958	118105929	+
707	A1	212350563	213332542	+	chr3	118105929	119087908	+
708	A1	213332542	213999184	+	chr3	119087908	119754550	+
709	A1	213999184	215152422	+	chr3	119754550	120907788	+
710	A1	215152422	215465069	+	chr3	120907788	121220435	+
60	A2	1	3430994	+	chr5	1504458	4935451	+
61	A2	3430994	4290679	+	chr5	5859470	6719155	+
62	A2	4290679	5411229	+	chr5	6719155	7839705	+
63	A2	5411229	5826722	+	chr5	8588696	9004189	+
64	A2	5826722	6671410	+	chr5	9004189	9848877	+
65	A2	6671410	8972935	+	chr5	10418681	12720206	+
66	A2	8972935	9700869	+	chr5	13264120	13992054	+
67	A2	9700869	10290029	+	chr5	13992054	14581214	+
68	A2	10290029	10703526	+	chr5	14581214	14994711	+
69	A2	10703526	13698441	+	chr5	14994711	17989626	+
70	A2	13698441	14707627	+	chr5	17989626	18998812	+
71	A2	14707627	16012601	+	chr5	18998812	20303786	+
72	A2	16012601	16660191	+	chr5	20303786	20951376	+
73	A2	16660191	16985407	+	chr5	21654307	21979523	+
74	A2	16985407	18394098	+	chr5	21979523	23388214	+
75	A2	18394098	19624718	+	chr5	23388214	24618834	+
76	A2	19624718	20974761	+	chr5	24618834	25968877	+
77	A2	20974761	21789756	+	chr5	25968877	26783872	+
78	A2	21789756	23919315	+	chr5	27003249	29132808	+
79	A2	23919315	26489267	+	chr5	29132808	31702760	+
1536	A2	26489267	29432685	+	chr18	60839521	63782939	+
1771	A2	29432685	30091260	+	chr6	2133490	2792065	-
1770	A2	30091260	31326919	+	chr6	897831	2133490	-
1769	A2	31326919	32218634	+	chr6	6116	897831	-
1772	A2	32218634	33205088	+	chr6	2853582	3840036	+
1773	A2	33205088	33725263	+	chr6	3840036	4360211	+
1774	A2	33725263	36027844	+	chr6	4360211	6662792	+
1775	A2	36027844	41106812	+	chr6	7251080	12330048	+
1776	A2	41106812	42381933	+	chr6	12330048	13605169	+
1777	A2	42381933	43274906	+	chr6	13956617	14849590	+
1778	A2	43274906	43966299	+	chr6	14849590	15540983	+
1779	A2	43966299	45363939	+	chr6	15540983	16938623	+
1780	A2	45363939	45828277	+	chr6	16938623	17402961	+
1781	A2	45828277	46432952	+	chr6	17589708	18194383	+
1782	A2	46432952	47008231	+	chr6	18638937	19214216	+
1783	A2	47008231	47728788	+	chr6	19214216	19934773	+
1784	A2	47728788	48186075	+	chr6	19934773	20392060	+
1785	A2	48186075	50557656	+	chr6	20392060	22763641	+
1786	A2	50557656	51488188	+	chr6	22763641	23694173	+
1787	A2	51488188	52054357	+	chr6	23694173	24260342	+
1788	A2	52054357	52681175	+	chr6	24493863	25120681	+
1789	A2	52681175	53070230	+	chr6	25120681	25509736	+
1547	A2	53070230	53524318	+	chr18	80078292	80532380	-
1546	A2	53524318	55211379	+	chr18	77952433	79639494	-
1545	A2	55211379	57452240	+	chr18	75131457	77372318	-
1544	A2	57452240	58061721	+	chr18	74521976	75131457	-
1543	A2	58061721	58988801	+	chr18	73594896	74521976	-
1542	A2	58988801	60770019	+	chr18	71813678	73594896	-
1541	A2	60770019	61398282	+	chr18	71107255	71735518	-
1540	A2	61398282	63814130	+	chr18	68691407	71107255	-
1539	A2	63814130	65894217	+	chr18	66611320	68691407	-
1538	A2	65894217	66352876	+	chr18	66122193	66580852	-
1537	A2	66352876	68268548	+	chr18	64206521	66122193	-
1518	A2	68268548	69822825	+	chr18	12410795	13965072	-
1517	A2	69822825	70746912	+	chr18	10798753	11722840	-
1516	A2	70746912	71390821	+	chr18	9494624	10138533	-
1515	A2	71390821	71709403	+	chr18	9176042	9494624	-
1514	A2	71709403	72025995	+	chr18	8797323	9113915	-
1513	A2	72025995	73508467	+	chr18	7091854	8574326	-
1512	A2	73508467	74081591	+	chr18	6518730	7091854	-
1511	A2	74081591	75048224	+	chr18	5552097	6518730	-
1510	A2	75048224	77910168	+	chr18	2690153	5552097	-
1509	A2	77910168	78796665	+	chr18	1517934	2404431	-
1508	A2	78796665	79320723	+	chr18	266332	790390	-
1519	A2	79320723	80935049	+	chr18	21125451	22739777	+
1520	A2	80935049	81283074	+	chr18	22745086	23093111	+
1521	A2	81283074	81977686	+	chr18	23172221	23866833	+
1522	A2	81977686	82635004	+	chr18	23866833	24524151	+
1523	A2	82635004	88223292	+	chr18	24524151	30112439	+
1524	A2	88223292	90049526	+	chr18	30112439	31938673	+
1525	A2	90049526	93525963	+	chr18	31938673	35415110	+
1455	A2	93525963	93875634	+	chr8	48133699	48483370	+
1456	A2	93875634	95209962	+	chr8	48483370	49817698	+
1457	A2	95209962	96339224	+	chr8	50220778	51350040	+
1458	A2	96339224	96756885	+	chr8	51907036	52324697	+
1459	A2	96756885	97621172	+	chr8	52324697	53188984	+
1460	A2	97621172	98364788	+	chr8	53446756	54190372	+
1461	A2	98364788	99997351	+	chr8	54424936	56057499	+
1462	A2	99997351	101049784	+	chr8	56372449	57424882	+
1463	A2	101049784	102085946	+	chr8	57870827	58906989	+
1464	A2	102085946	105346323	+	chr8	58943897	62204274	+
1465	A2	105346323	106338059	+	chr8	62569795	63561531	+
1466	A2	106338059	109605716	+	chr8	63561531	66829188	+
1467	A2	109605716	111068204	+	chr8	66829188	68291676	+
1468	A2	111068204	113647158	+	chr8	68300538	70879492	+
1469	A2	113647158	116238939	+	chr8	70879492	73471273	+
1470	A2	116238939	118447147	+	chr8	73471273	75679481	+
1471	A2	118447147	121657913	+	chr8	75679481	78890247	+
1472	A2	121657913	122491224	+	chr8	78914335	79747646	+
1473	A2	122491224	123989733	+	chr8	80132233	81630742	+
1474	A2	123989733	124388126	+	chr8	81630742	82029135	+
1475	A2	124388126	126742777	+	chr8	82243764	84598415	+
1476	A2	126742777	127603724	+	chr8	84603974	85464921	+
1477	A2	127603724	128113315	+	chr8	85520790	86030381	+
1478	A2	128113315	128641527	+	chr8	87161559	87689771	+
1479	A2	128641527	129238695	+	chr8	87689771	88286939	+
1480	A2	129238695	131549893	+	chr8	88286939	90598137	+
1481	A2	131549893	132829608	+	chr8	90901883	92181598	+
1482	A2	132829608	134529581	+	chr8	92181598	93881571	+
1483	A2	134529581	136452227	+	chr8	93911101	95833747	+
1484	A2	136452227	138007004	+	chr8	95890224	97445001	+
1485	A2	138007004	146560498	+	chr8	97445001	105998495	+
1486	A2	146560498	147851599	+	chr8	105998495	107289596	+
1487	A2	147851599	149523597	+	chr8	107289596	108961594	+
1488	A2	149523597	152183251	+	chr8	108961594	111621248	+
1489	A2	152183251	153440355	+	chr8	112557935	113815039	+
1490	A2	153440355	159466538	+	chr8	113815039	119841222	+
1491	A2	159466538	160202072	+	chr8	119841222	120576756	+
1492	A2	160202072	161703259	+	chr8	120576756	122077943	+
1493	A2	161703259	163920134	+	chr8	122077943	124294818	+
1494	A2	163920134	164229332	+	chr8	124294818	124604016	+
1495	A2	164229332	165556422	+	chr8	124604016	125931106	+
1496	A2	165556422	169357618	+	chr8	127968539	131769735	+
1497	A2	169357618	170245049	+	chr8	131769735	132657166	+
1498	A2	170245049	172279672	+	chr8	132657166	134691789	+
1499	A2	172279672	173721849	+	chr8	134691789	136133966	+
1500	A2	173721849	175402502	+	chr8	137999802	139680455	+
1501	A2	175402502	175829005	+	chr8	139680455	140106958	+
1502	A2	175829005	176578967	+	chr8	140929064	141679026	+
1503	A2	176578967	177377529	+	chr8	141715505	142514067	+
1504	A2	177377529	177678474	+	chr8	142635349	142936294	+
1505	A2	177678474	178281762	+	chr8	142936294	143539582	+
1506	A2	178281762	178741375	+	chr8	144073729	144533342	+
1507	A2	178741375	179317649	+	chr8	145678599	146254873	-
1040	A2	179317649	179773927	+	chr9	110877282	111333560	+
1041	A2	179773927	181016558	+	chr9	111333560	112576191	+
1442	A3	1	467223	+	chr8	27896805	28364027	-
1441	A3	467223	872516	+	chr8	27442892	27848185	-
817	A3	872516	1701522	+	chr2	24408576	25237582	-
1443	A3	1701522	2519060	+	chr8	28682319	29499857	+
1426	A3	2519060	3240656	+	chr8	9220494	9942090	-
1425	A3	3240656	3557266	+	chr8	8903884	9220494	-
1424	A3	3557266	3974505	+	chr8	8486645	8903884	-
1423	A3	3974505	4643009	+	chr8	7677751	8346255	-
1806	A3	4643009	5728642	+	chr6	51381326	52466959	-
1805	A3	5728642	7497809	+	chr6	49611244	51380411	-
1802	A3	7497809	9352800	+	chr6	44185079	46040070	+
1803	A3	9352800	10807012	+	chr6	46041697	47495909	+
1804	A3	10807012	11295570	+	chr6	47495909	47984467	+
816	A3	11295570	12488194	+	chr2	23215952	24408576	-
815	A3	12488194	13651458	+	chr2	22052688	23215952	-
814	A3	13651458	15188507	+	chr2	20515639	22052688	-
813	A3	15188507	15772045	+	chr2	19932101	20515639	-
812	A3	15772045	17512391	+	chr2	18191755	19932101	-
811	A3	17512391	18893427	+	chr2	16810719	18191755	-
810	A3	18893427	21246611	+	chr2	14457535	16810719	-
809	A3	21246611	22359609	+	chr2	12139301	13252299	-
808	A3	22359609	23320575	+	chr2	11178335	12139301	-
807	A3	23320575	23920212	+	chr2	10458607	11058244	-
806	A3	23920212	24657894	+	chr2	9561293	10298975	-
805	A3	24657894	24981158	+	chr2	9238029	9561293	-
804	A3	24981158	25406979	+	chr2	8740201	9166022	-
803	A3	25406979	25756393	+	chr2	8390787	8740201	-
802	A3	25756393	27064629	+	chr2	7082551	8390787	-
801	A3	27064629	30361721	+	chr2	3785459	7082551	-
800	A3	30361721	33391842	+	chr2	755338	3785459	-
1420	A3	33391842	35017142	+	chr8	409302	2034602	+
1421	A3	35017142	36758914	+	chr8	2557291	4299063	+
1422	A3	36758914	37743893	+	chr8	5652197	6637176	+
1807	A3	37743893	38371247	+	chr6	52678986	53306340	+
1808	A3	38371247	39495048	+	chr6	53325094	54448895	+
1809	A3	39495048	40477465	+	chr6	54448895	55431312	+
1810	A3	40477465	40894460	+	chr6	55431743	55848738	+
1811	A3	40894460	42149173	+	chr6	55848738	57103451	+
1812	A3	42149173	43594194	+	chr6	62682758	64127779	+
1813	A3	43594194	44126146	+	chr6	64770267	65302219	+
1814	A3	44126146	45992534	+	chr6	65302219	67168607	+
1815	A3	45992534	46995876	+	chr6	67168607	68171949	+
1816	A3	46995876	53006152	+	chr6	68454613	74464889	+
1817	A3	53006152	53564675	+	chr6	74698136	75256659	+
1818	A3	53564675	54694221	+	chr6	75266160	76395706	+
1819	A3	54694221	55056952	+	chr6	76395706	76758437	+
1820	A3	55056952	56231580	+	chr6	76771327	77945955	+
1821	A3	56231580	57666148	+	chr6	77945955	79380523	+
1822	A3	57666148	58692982	+	chr6	79967080	80993914	+
1823	A3	58692982	59465746	+	chr6	81293248	82066012	+
1824	A3	59465746	61328426	+	chr6	82387175	84249855	+
1825	A3	61328426	62081219	+	chr6	84249855	85002648	+
1826	A3	62081219	63765134	+	chr6	85403754	87087669	+
1827	A3	63765134	64494027	+	chr6	88659990	89388883	+
1828	A3	64494027	66918034	+	chr6	89389285	91813292	+
1829	A3	66918034	68042063	+	chr6	91813292	92937321	+
1830	A3	68042063	70745059	+	chr6	92939754	95642750	+
1831	A3	70745059	72091245	+	chr6	95666564	97012750	+
1832	A3	72091245	74377427	+	chr6	97668076	99954258	+
1833	A3	74377427	74806768	+	chr6	99955109	100384450	+
1834	A3	74806768	75537830	+	chr6	100384450	101115512	+
1835	A3	75537830	77908881	+	chr6	101115512	103486563	+
1836	A3	77908881	78569064	+	chr6	103486563	104146746	+
1837	A3	78569064	82373660	+	chr6	104267201	108071797	+
1838	A3	82373660	83397057	+	chr6	108072403	109095800	+
1839	A3	83397057	83729878	+	chr6	109162630	109495451	+
1840	A3	83729878	84566002	+	chr6	109656638	110492762	+
1841	A3	84566002	85597678	+	chr6	110492762	111524438	+
1842	A3	85597678	86109582	+	chr6	111524438	112036342	+
1843	A3	86109582	86530803	+	chr6	112039933	112461154	+
1844	A3	86530803	87360918	+	chr6	112461379	113291494	+
1845	A3	87360918	87950378	+	chr6	113291494	113880954	+
1846	A3	87950378	89163269	+	chr6	113880954	115093845	+
1847	A3	89163269	89753494	+	chr6	115093845	115684070	+
1848	A3	89753494	91326354	+	chr6	115687566	117260426	+
1849	A3	91326354	91794421	+	chr6	117260426	117728493	+
1850	A3	91794421	93000360	+	chr6	117976530	119182469	+
1851	A3	93000360	94813892	+	chr6	119185942	120999474	+
1852	A3	94813892	95783059	+	chr6	120999474	121968641	+
1853	A3	95783059	96440330	+	chr6	121976678	122633949	+
1854	A3	96440330	97607890	+	chr6	122919208	124086768	+
1855	A3	97607890	100323702	+	chr6	124086768	126802580	+
1856	A3	100323702	102145551	+	chr6	126802685	128624534	+
1857	A3	102145551	102456278	+	chr6	128732527	129043254	+
1858	A3	102456278	103244929	+	chr6	129043254	129831905	+
1859	A3	103244929	106104296	+	chr6	129833107	132692474	+
1860	A3	106104296	107123376	+	chr6	132692474	133711554	+
1861	A3	107123376	107585559	+	chr6	134012529	134474712	+
1862	A3	107585559	108432690	+	chr6	134474712	135321843	+
1863	A3	108432690	109348485	+	chr6	135321843	136237638	+
1864	A3	109348485	109709831	+	chr6	136237638	136598984	+
1865	A3	109709831	110392499	+	chr6	136847244	137529912	+
1866	A3	110392499	110951069	+	chr6	137529912	138088482	+
1867	A3	110951069	111593604	+	chr6	138089810	138732345	+
1868	A3	111593604	112044468	+	chr6	138732823	139183687	+
1869	A3	112044468	113067164	+	chr6	139184693	140207389	+
1870	A3	113067164	115904793	+	chr6	140207389	143045018	+
1871	A3	115904793	118086906	+	chr6	143045018	145227131	+
1872	A3	118086906	118593361	+	chr6	145390370	145896825	+
1873	A3	118593361	119166538	+	chr6	145902640	146475817	+
1874	A3	119166538	122215184	+	chr6	146716324	149764970	+
1875	A3	122215184	123104719	+	chr6	149869323	150758858	+
1876	A3	123104719	125436362	+	chr6	151503318	153834961	+
1877	A3	125436362	126208972	+	chr6	153834961	154607571	+
1878	A3	126208972	127507889	+	chr6	154607571	155906488	+
1879	A3	127507889	128119236	+	chr6	155906488	156517835	+
1880	A3	128119236	129464274	+	chr6	156517835	157862873	+
1881	A3	129464274	131059543	+	chr6	157874157	159469426	+
1882	A3	131059543	131472351	+	chr6	159469426	159882234	+
1883	A3	131472351	132015969	+	chr6	160375443	160919061	+
1884	A3	132015969	133179312	+	chr6	160926431	162089774	+
1885	A3	133179312	133546223	+	chr6	162438237	162805148	+
1886	A3	133546223	136883567	+	chr6	162805148	166142492	+
1887	A3	136883567	137364342	+	chr6	166142492	166623267	+
1888	A3	137364342	138410139	+	chr6	166623267	167669064	+
1889	A3	138410139	138797281	+	chr6	167771992	168159134	+
1890	A3	138797281	139259604	+	chr6	169014792	169477115	+
1891	A3	139259604	140058696	+	chr6	170237107	171036199	+
1892	A3	140058696	140405623	+	chr6	171771013	172117940	+
1318	A3	140405623	140903544	+	chr1	230190554	230688475	-
1317	A3	140903544	141895321	+	chr1	229122723	230114500	-
1319	A3	141895321	145695525	+	chr1	230688475	234488679	+
1320	A3	145695525	146282851	+	chr1	234546496	235133822	+
1321	A3	146282851	146841504	+	chr1	235733319	236291972	+
1322	A3	146841504	147884567	+	chr1	236291972	237335035	+
1323	A3	147884567	148545958	+	chr1	238687016	239348407	+
1324	A3	148545958	148895451	+	chr1	240170296	240519789	+
1325	A3	148895451	149369851	+	chr1	240575161	241049561	+
1326	A3	149369851	151970225	+	chr1	241468038	244068412	+
1327	A3	151970225	152413860	+	chr1	244068412	244512047	+
1328	A3	152413860	154408457	+	chr1	244512047	246506644	+
825	A3	154408457	154996217	+	chr2	31683407	32271167	+
826	A3	154996217	155941327	+	chr2	32672266	33617376	+
827	A3	155941327	156402595	+	chr2	36306541	36767809	+
828	A3	156402595	156804821	+	chr2	36767809	37170035	+
829	A3	156804821	157648229	+	chr2	37417864	38261272	-
